study_hours_per_day,social_media_hours,netflix_hours,sleep_hours,exercise_frequency,exam_score
3.8,1.8,0.7,8.2,5,84.2
4.9,3.5,1.2,7.4,0,75.4
1.4,2,3.5,6.3,1,41.7
0.9,2.4,2.5,6.9,0,23.1
1.2,2.5,0.8,5.8,4,50.3
5.4,0.2,0,6.7,4,100
2.7,2.5,1.4,6.6,6,52.2
7.3,1.7,1.6,7.7,6,100
2.7,1.9,2.3,7.7,3,71.2
3.8,4.2,1.2,7.1,1,72.3
5.8,1,2.4,6.1,4,100
6.5,3.5,3.9,7.4,5,100
6.6,2.2,2.7,6.4,2,100
5.3,2.2,1.7,5.2,2,93.1
5,3.4,1.6,6,2,67.7
4.4,2.9,1.4,6.6,6,77.9
4.7,3.2,3.1,7.6,5,80.3
2.7,3.7,1.1,6.3,0,44.3
2.3,2.1,1.8,5,5,54.7
3.5,1.8,1.9,6.6,0,85
3.2,1.2,1.2,6.6,2,81.7
2.8,1.5,0.3,6.7,3,71.6
4.5,6,2.2,7.6,3,73.7
4.9,4,1.7,7.7,0,77
3.6,0.9,2.4,5.8,2,72.3
5.7,0.9,1.2,5.8,5,100
1.8,3.1,3.1,5.3,3,54
3.2,3.2,0.8,7.3,0,70.4
2.4,3.2,3.7,8.2,5,47
0.7,2.2,0,6.1,2,48.7
3.4,2.3,2.3,6.2,1,47.6
3.3,2.9,2.3,8.3,2,81.1
5.8,2.6,0.9,7.1,6,100
4.4,0,2.3,7,2,81.9
2,2.2,3.2,5.1,5,56.3
6.3,1.5,0,7.3,5,100
5.3,2.7,2.4,5.4,4,81
4.4,6.1,0,5.1,4,84.9
3.2,2.9,0.7,6.1,5,67.9
2.1,2.1,3.6,5.8,5,56.9
2.9,3.6,1.2,6.2,1,45.9
5.1,3.1,0.5,4.8,1,76
6.3,3,1.6,7.7,2,94.8
5.8,3.2,4.1,7.9,6,99.3
2.8,5,0,4.2,3,71
1.8,1.1,0.6,7.7,6,70.9
3.7,3.1,3.4,5.5,1,59.8
0.8,1.4,3.8,7.5,2,36
4,3.2,1.7,6.4,6,68.4
3.3,1.4,0.4,6.5,0,72.9
2.8,2,4.1,6.3,4,57.3
1.1,2.1,3.6,8,6,50.3
4.3,3.7,2.5,5,3,65.7
2.7,3.6,0.9,7.2,2,67.9
1.7,1,1.7,7.8,6,63.6
0,2.6,1.6,7.4,5,32.9
3.5,1.6,2.2,9.3,0,67.7
6.2,1,3.4,5.9,4,100
6,2.2,2.8,7.6,0,96.8
2.8,2.1,0.6,6.4,2,71
2.6,5.4,3.3,8,1,59.8
4.2,3,2.1,6.5,4,64.2
2,0.8,2.6,6,0,45.2
4,1.8,3.4,8.1,1,82.9
4.6,3.7,0.6,5.9,3,73.2
5.3,5,1.8,4.8,2,79.6
3.3,0.6,1.2,5.9,2,73
3.2,0.2,0.1,7.2,4,72.6
2.2,4.7,2.2,8.2,0,45.2
2.3,3,4.6,6.6,3,51.8
3.2,1.5,0,8.1,5,92
4.1,3.1,1.8,4.9,4,77.8
4.9,0,2.5,6,5,97.2
2.3,2.5,1.9,6.2,4,71.9
5.7,2.9,1.7,6.4,0,69.1
3.1,3.6,0.4,6.6,3,59.6
3.5,1.3,2.1,7.3,0,60.4
2.4,2.6,1,6,2,48.3
0,1.4,0,6.7,5,50.1
4.8,2.8,3.1,6.4,1,74.9
4.6,1.4,2.9,5.4,6,85.6
3.1,2,1.9,6.4,2,65.4
3.6,1.3,2.1,6.3,2,82.4
4.3,3.3,3,6.3,5,67.3
1.2,3.5,2,6.5,4,34.3
2.7,2.2,2.8,6.6,2,53
4.7,2.5,1.5,6,6,78
1.6,0.8,3.2,8,3,58.2
3.9,2.1,2.2,5.1,2,73.7
1.5,2.4,2,5.6,3,60.3
4.2,5.6,0.4,9.8,0,78.7
3.4,1.2,2.1,5.3,4,68.3
1.1,4.3,0.9,4.9,3,49.9
5.2,3.7,1.1,7.4,2,100
2.4,2.8,0.9,4,4,54.7
2.3,4.6,0.6,6.2,6,58.7
3.8,2.9,4.1,9.1,4,70.8
5.2,3,3.3,4.6,3,87.1
2,2.4,3.9,4.1,3,29.5
3.6,4,0.5,4.7,1,53.2
4.1,3.8,1.9,7.6,1,73
4.5,1.7,0.4,7.8,4,71.1
3.8,0.9,1,5.9,5,80.9
2.9,2.3,0.8,7.3,5,75.1
2.3,1.5,3.2,8.2,1,52.4
3.6,2.4,1.4,8.6,2,67.6
1.9,4,3,6.2,0,35.7
0,2,2.5,3.7,4,29.9
4.2,2.4,4.3,5.5,0,70.7
4.9,2.6,0.2,6,1,89.3
0,3.5,3.2,6.2,3,26.2
2,0,3.1,6.3,6,58.3
4.4,1.8,0.7,7.8,4,78.4
6.6,2.8,2.9,8,1,100
3.5,3.9,2.2,6.3,2,66.8
2.4,1.9,1.5,7.8,6,63.8
3.2,0.2,0.9,6.9,4,76.1
5.6,3.2,1,6.6,4,82.7
2.5,1.7,4.1,7.6,5,65
2.3,1.1,1.8,6.6,3,66.8
2.8,1.8,2.7,9,4,64.9
2.1,2.3,0.9,4.8,3,63.1
3.7,1.8,0.9,5.9,1,56.3
5.9,0,3,6.3,2,93.6
4,3.6,0.3,7,6,91.9
3.1,4,1.3,8,6,74
3.1,3.3,1.8,6.5,2,62.7
1.2,1.1,1.9,4.8,4,58.6
4.8,2.3,1.6,7.5,4,89.3
3.4,2.5,2.2,7.4,1,63.4
3.2,3.2,2.6,4.2,5,46.7
8.3,3.3,2.6,6.5,5,100
3.9,1.6,0.7,4.6,5,68.7
2.4,2.6,1.5,5.7,3,58.9
2.9,3,3.1,5.4,5,59
5.2,4.2,2.8,7.5,2,77.9
3.7,3.3,0.3,6.6,6,72.3
1.3,3.4,2.2,5,6,49.7
4.9,2.6,0,7.6,3,80.9
2.5,4.2,1.9,4.8,1,44.5
6.3,3,3.9,6.9,2,85.3
5.1,1.5,0.8,5.5,6,83.2
2.8,4.2,0.9,6.1,2,59.7
5.4,3.3,2.6,7.1,6,98.1
3.6,2,0.1,7.1,0,66.8
4.8,1.9,1.1,8.1,1,96.1
4.2,2.9,2.5,6.4,1,60.4
2.2,3.1,1.1,6.9,0,33.8
2.5,2.7,1.5,6,3,56.1
5,2.9,2.6,6.7,6,80.6
3,4.5,2.3,7,6,52.6
2.9,3.8,2.1,6.4,6,52.1
2.1,2.7,1.4,4.3,5,39.9
4.1,3.6,2.2,6.9,5,84
6.6,1.3,1.7,6.9,5,97.7
1.9,3,2.3,5.7,5,43.3
3.5,4.7,1.3,5,5,55.9
5.6,2.2,1.6,8.3,0,84.6
3.4,1.5,0.7,7.1,1,67
4.2,1.7,1.8,6.2,3,76
1.9,1.2,0.9,5.1,2,56.9
4.1,1.6,0.6,5.5,5,77.5
3.2,2.1,2.1,8.1,0,69.4
5,0.8,2,6.7,6,94.6
5.3,2.5,2.7,5.8,3,93.4
7.4,3.6,1.3,7.1,3,100
4.4,1.4,2.2,5.5,3,63.6
4,4.3,2.4,8.3,0,53
3.8,3.1,2.3,8.1,2,67.8
3,3.7,0.9,5.9,5,73.9
4,1.7,2,5.7,3,66.5
3.1,3.5,2.2,3.4,0,49.9
3.8,1.2,1.8,4.7,6,73.9
5.5,3.6,0,4.9,1,80.3
2,2.7,2,6.7,6,71.7
5.2,3.2,4.2,6.1,0,83.3
5.5,1.1,1.4,4.9,0,84.5
3.3,1.4,1,6.2,0,74.9
0.3,3.2,2.2,7.1,3,34
2.6,1.4,2.1,7.1,0,63
5.4,3.1,3.1,4.2,1,77.9
3.5,0.9,0.4,6.3,3,72.9
2,3.5,2.6,4.8,6,53.2
2.7,1,2.4,7.6,1,57.3
4.8,3.2,1.6,7.4,4,76.6
4.3,3.3,2.2,5.4,6,64.6
3.1,1.7,2.9,5.6,0,51.1
2.9,3.2,2.8,5.9,5,63
2.9,2.8,0.5,3.8,5,61.6
2.1,1.9,2.7,6.9,3,62.5
5.9,1.3,1.7,6.2,5,87.1
3,0.1,1.9,7.7,6,82.5
5.3,2.9,1.9,5.2,3,80.9
5.8,0.6,1.6,5.8,6,100
5,2.6,3.1,4.7,0,79.6
2.9,2.2,1.7,5.3,2,71.2
4.1,3.3,0.6,5.1,2,62.7
3.5,2.1,1.4,7.7,1,64.2
2.1,2.1,2,5.7,0,44.1
4,3.4,3.2,6.6,5,61.7
1.7,2.9,2.5,6,0,39.9
5.3,2.9,0.9,5,4,84.1
2.8,3.1,4.5,6.3,2,40.7
3.8,0.7,2.1,7.2,5,81.8
3.9,3.4,3.2,5.1,6,77
3.1,3.2,1.6,7.5,6,65.7
4.4,1.3,2.4,5.5,2,80.9
2.8,2.2,2.7,5.9,0,47.4
4.8,2.5,3.1,7.1,5,83
1.5,2.3,3,5.7,1,54.2
3.7,2.9,2.8,6.5,6,82.5
6.4,4.2,1.5,6.1,0,85
2,3.8,1.2,6.7,1,40.4
2.5,0.9,2.2,3.6,5,58.9
4.3,3.2,2.8,4.3,2,67.5
3.8,4.1,1.6,7.2,4,81
4,3,3,7.7,3,74.7
4.2,3.8,3.4,5.4,2,67.4
4.5,4.9,0.8,6.2,1,72.2
5.2,3.7,0.9,6.9,0,77.1
4.1,2.8,1.6,7.3,6,87.9
3.1,3.8,2.1,4.1,5,54.1
4.5,2.7,1.2,5.4,2,62.9
6.3,2.5,3.3,6.1,6,95.6
3.3,2.1,2.3,7.3,6,67.1
2,4.4,1.8,9.5,4,51.5
5.2,1.5,0.2,6.2,5,97.9
3.3,4.3,0.4,4.8,1,67
0.2,3.1,2.1,7,5,31.5
4.8,0.8,0,8.1,5,88
2.7,2.9,2.9,6.6,0,53.4
3.4,0,1.6,5.4,3,83.4
4,3.3,5.4,7.6,6,79
3.8,3.6,4.3,7.3,1,69.9
4.6,1.8,1.6,5.3,0,60.1
2.8,2.6,1.7,7,6,70.3
4.3,4.8,2.9,7.7,3,79.8
3.1,1.9,3.7,7.9,0,66.6
4.6,1.2,0,6.4,3,91.7
4.4,4.3,0,6.1,3,70.1
2.1,4.9,1.1,8,3,61.5
5.1,2.5,2.4,5,0,79.3
2.7,3.7,2.3,7,5,63.9
4.7,4.1,3,4.9,3,93.1
4.1,1.6,0.5,7.8,5,89.8
6.3,1.9,0,6.2,6,100
3.2,4,2.7,8,6,61.8
3,4.5,0.9,7.1,1,51.5
3.5,3.2,0,5,4,60.4
3,1.4,2,8.2,5,67.2
4.7,4.9,2.7,8.4,6,89.6
1.1,1.9,1.7,7.6,4,48.3
1.9,2.1,1.3,5.6,3,61.7
1.9,2.9,1.6,6.1,4,44.4
4.9,4.4,1.4,6.7,4,77.2
6.1,3.5,0.3,5.7,3,100
3.3,3,1,8.5,5,73
3.2,3.1,2.4,6.7,3,68.5
3.6,2.6,2.2,3.3,1,61
5.2,3.2,2,6.9,2,70.5
2.1,0,0.7,6.1,0,52.5
3.9,2.1,1.6,6.4,3,62.8
5,2.8,0,6.1,3,83.5
4.3,1.1,2,7.5,4,71.4
3.8,3,3.4,7.8,1,61.5
5,2.3,0.2,6.8,6,75.4
0,4.6,1.2,6.1,6,42
4.5,4.4,2.2,6.5,4,64
2.5,1.9,3.2,6.5,5,60.1
0.8,2.3,1.3,5.5,3,34.7
4.3,2.4,1,7.2,3,88
5.6,2,0,7.1,4,100
3.3,2.7,1.9,8.3,3,66.1
4.9,1.6,4,8,5,95.5
5.9,1.1,2.1,5.7,2,86.4
5.5,3.2,1.8,7.5,0,77.3
6,3.3,2.2,5.4,0,90.2
4.6,1.5,1.8,7.3,0,80.2
3.6,3.6,0.9,5.9,2,72.9
1.1,1.7,2.7,5.3,3,35.8
3.1,2.8,2,6.8,4,72.8
2.2,3.5,1.8,3.3,6,67.6
6.8,2.5,0.7,4.4,1,93.1
3.2,3,3.2,6.3,3,57.5
3.7,1.9,2.5,6.6,2,61.1
4.3,2.3,1.2,6.1,5,77.4
3.6,2.3,2.9,4.6,2,69.6
6,1.6,1.3,5.5,6,100
2.6,2.3,0.9,7,0,69.3
3.8,0.6,1,7.2,3,85.7
2.4,1.9,0,6.5,6,53.9
1.5,2.2,2.3,7.9,0,43.7
2.6,2.2,0,7,1,79.3
3.4,2.2,0.4,5.6,5,71.3
2.9,2.4,0,6.2,0,61.4
2.5,3.1,1.7,4.8,1,45.1
1.4,3.5,1.6,6.4,2,39.8
3.4,1.7,1.4,7.8,0,70.7
1.2,1.1,0.7,7.3,0,35.6
4.6,1.2,0.5,8.2,4,93
3.6,1.9,2.3,6.1,5,83.2
1.3,2.1,1.2,8.1,5,46.6
3,1.6,2.1,6.3,6,70.8
2.4,0.9,0.8,8.3,2,78.3
4,2,2,6.5,4,70.7
5.5,2.7,3.2,7.3,6,82.6
0.7,3.2,2.4,8.3,1,50.3
3.7,1.8,1.3,6.3,6,80.9
3.3,2,2.1,6.8,1,75.4
4.5,1.4,1.5,8,2,83.7
3.8,2.5,1.8,6.3,5,76.8
2.4,1.5,1.4,4.9,1,45.8
3,3.2,1.6,9.1,2,58.4
2.3,0.4,2,5.9,6,70.3
5.1,2.1,0.7,6.7,1,99.4
3.5,2.9,0.7,7.9,3,62.9
6.4,2.7,0.3,5.8,0,98
3.4,5.7,0,5.3,6,74.7
2.4,2.9,0.5,6.8,5,50.4
1.2,1.3,2,4.3,6,49.4
0.8,2.4,0.8,6.2,3,35.3
1.1,0.4,2.4,6.8,2,46.3
3.9,2.4,1.8,6.2,2,68.4
4.3,1.5,0,4.6,6,84.2
1.1,3.6,2.5,8.4,3,54.6
4.8,1.8,2.7,6.6,6,88
2.8,2.4,0.7,8.2,0,61.5
3.7,1.7,2.3,6.2,0,75.7
5.9,4.6,0.9,5.4,4,100
4.8,2.1,1.9,6.8,1,82.6
3.1,4.7,0.4,6.2,4,71.5
2.2,3.5,0,5.1,0,57.6
0.3,3.1,1.4,8.3,3,36.1
2.4,2.9,1.7,5.8,1,67.4
3.2,3,1.4,4.3,3,74.8
2,0.2,0.5,8.1,4,73.6
3.3,2.2,1.4,5.9,2,79.5
3.6,3.5,2.1,5.8,3,62.5
3.2,2.4,1.8,4.4,4,76.3
2.5,0.8,2,8.6,4,75.6
3.8,2.4,1.1,5,4,64.4
4.2,4.5,3.1,6.6,2,75.3
1.9,4,0.5,7.6,2,50.4
5.6,2.4,2.3,7,6,100
3.4,3.6,3.1,6.4,2,76.4
3.5,2.1,2.3,4.5,1,69.9
